id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 9
afc1ad69-6c74-43eb-bc9a-2ba40df2153a,IRWIN,2023-01-09 00:18,"RRU, IRIS AV / KITCHING ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.888305895085, -117.217441999345",,,,
a6a8d8ab-d1c1-443e-b95e-0c14d6b097f8,IRWIN,2023-01-09 01:23,"RRU, MAGNOLIA AV  HOMG IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8788988772362, -117.518851050372",,,,
9a0007dc-a26c-4caf-b818-f7c98445ea46,IRWIN,2023-01-09 02:55,"RRU, MESQUITE AV / BUENA VISTA AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9596059435187, -116.496256879441",,,,
75b409cd-6423-429a-8e82-c79f57d8d2f0,IRWIN,2023-01-09 03:13,"RRU, FRED WARING DR  INDO IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7285739305613, -116.234415814941",,,,
1383866594,PulsePoint,2023-01-09 10:04,"LAC, N 177TH ST E & E AVENUE N, LAKE LOS ANGELES",LAC,LOCAL,Los Angeles,1.0,"34.63116, -117.81366999999997",,,,
fb109dfd-1207-460f-9815-384c94dffb8d,IRWIN,2023-01-09 13:02,"XSB, 2023 January Storm IC Santa Barbara",SBC,LOCAL,Santa Barbara,1.0,"34.4300048105054, -119.735290263849",Other - Enter reason,Libraty,Old discovery,
2dad7dc8-6bee-4b10-ae88-432b9bad7388,IRWIN,2023-01-09 17:24,"RRU, ELM AV  BEAU IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9245069120961, -116.986913962353",,,,
e329cca7-1431-48fb-a855-d0d331cc9f40,IRWIN,2023-01-09 18:58,"RRU, 16TH AV  DHSP IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9321979392724, -116.514577880467",,,,
3c1021ff-ae28-4240-8e7f-804bc30e4364,IRWIN,2023-01-09 22:55,"RRU, 70TH IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5399689142378, -116.118083779695",,,,
5e9444b4-43b5-49a5-9682-e3f1a32b3a33,IRWIN,2023-01-09 23:37,"RRU, BEACON IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9031919363365, -116.505904876625",,,,
1384608629,PulsePoint,2023-01-10 05:26,"LAC, N 30TH ST E & E AVENUE E, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.76273, -118.07731",,,,
8570dda8-6c01-4955-a732-a382493d41bd,IRWIN,2023-01-10 11:23,"RRU, HANNON RD / BROOKSIDE AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9641659156513, -117.005513968766",Other - Enter reason,Rawaf,"Old: ""FireDiscoveryDateTime: 2023-01-10 10:49 PST"". Also, weather.",
193034b6-ebdd-4599-96fc-0428ac1cdb9e,IRWIN,2023-01-10 12:18,"RRU, GOLF CENTER PY / GOLF CENTER PY OFRP IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7267189321878, -116.200608808811",Other - Enter reason,Rawaf,"Old: ""FireDiscoveryDateTime: 2023-01-10 09:26 PST"". Also, urban/desert.",
21601e7b-f6c8-4ae4-8360-90a82d21621f,IRWIN,2023-01-10 13:23,"SNF, CY23 SNF OSC SUPPORT IC Fresno",CLV,LOCAL,Fresno,5.0,"36.8280606527428, -119.685568284151",Other - Enter reason,Rawaf,"Old: ""FireDiscoveryDateTime: 2023-01-01 13:20 PST"". Also, urban.",
b5720f37-4e03-4e14-b1a4-4d8c41a505b6,IRWIN,2023-01-10 17:07,"RRU, S STATE ST /W 7TH ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7801968961609, -116.971979948276",Urban,Daniel,,
2c70709a-ff10-4af0-850e-f9d06a508cd7,IRWIN,2023-01-10 17:17,"RRU, BEACON WY  DHSP IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9069859367808, -116.505956876937",Dirt / desert,Daniel,"Also, rainy",
04e6cafd-a25b-47b1-8735-c82a2788f34f,IRWIN,2023-01-10 17:33,"RRU, 70 IC Riverside",RVC,LOCAL,Riverside,6.0,"33.539984914519, -116.112902778777",Agriculture / farm,Daniel,,
a8fa6a45-8f8e-43b5-af1f-1f12457294dc,IRWIN,2023-01-10 23:46,"RRU, DALE KILER RD / AVE 64 IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5839089221179, -116.07026077459",,,,
af18b96b-fc56-4a58-9220-0c1cc2e14711,IRWIN,2023-01-11 15:24,"CDF, XSC January Winter Storms IC Shasta",SHU,STATE,Shasta,3.0,"40.5427830229564, -121.6755690603",No potential / nowhere to go,Libraty,RH at 99,
1863a238-f6ac-4b0d-a4e7-7f1634408645,IRWIN,2023-01-11 15:24,"CDF, XSC January Winter Storms IC Shasta",SHU,STATE,Shasta,3.0,"40.5427830229564, -121.6755690603",Other - Enter reason,Libraty,Duplicate alert,
1386087726,PulsePoint,2023-01-11 20:52,"LFD, 2148 N SOTO ST, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.069008, -118.19528",,,,
1386160553,PulsePoint,2023-01-11 23:32,"LAC, E AVENUE O & 156TH ST E, LAKE LOS ANGELES",LAC,LOCAL,Los Angeles,1.0,"34.61652, -117.85167",,,,
1386393398,PulsePoint,2023-01-12 09:00,"LAC, N 30TH ST E & E AVENUE R, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.57097000000001, -118.07603999999999",Urban,Rawaf,"Also, desert.",
dd02a3cf-b7de-45d8-bcc8-e544412e0f61,IRWIN,2023-01-12 10:40,"RRU, LONGVUE RD  SKYV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8754209412437, -116.358011848367",Other - Enter reason,Rawaf,"Old: ""FireDiscoveryDateTime: 2023-01-12 09:57 PST"". Also, desert.",
948373f4-f8df-4a2d-9e13-678b125f1b12,IRWIN,2023-01-12 10:56,"RRU, DOS LAGOS DR UNDRPS (I 15) RVC COR IC Riverside",RRU,STATE,Riverside,6.0,"33.8069758696687, -117.507407042678",,,,
10ae0b1d-5b3f-4afb-9aa2-0bbe68a41885,IRWIN,2023-01-12 12:10,"RRU, LA HUERTA RD / FALCON VIEW LN IC Riverside",RRU,STATE,Riverside,6.0,"33.7574638867157, -117.095490967884",,,,
1386699441,PulsePoint,2023-01-12 13:13,"LAC, 441 W AVENUE K, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.67496000075494, -118.14029000000002",,,,
dfda6df9-7565-43fb-b60e-1c69e0de2d97,IRWIN,2023-01-12 14:07,"RRU, BEACHWOOD AV  INDO IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7108509295254, -116.214589810045",,,,
1386751030,PulsePoint,2023-01-12 14:17,"LFD, 1202 W ANAHEIM ST, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"33.782148, -118.29803",,,,
a96400d0-2c67-4935-9940-f92759b31acb,IRWIN,2023-01-12 17:25,"RRU, CEDAR AV / MOUNTAIN AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7619708974386, -116.910196936104",Fusion Center Instruction,Sierra,,
f3e8e652-e661-43fa-b093-5d826c3831bb,IRWIN,2023-01-12 17:41,"RRU, SAGE RD  HEM IC Riverside",RRU,STATE,Riverside,6.0,"33.6612228832986, -116.953493935718",Knockdowns,Sierra,Small spot,
1387076575,PulsePoint,2023-01-12 22:06,"LAC, N 20TH ST W & W AVENUE J, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.68932999999999, -118.16894000000002",,,,
58cd47d2-d19b-42b0-a688-a70c5cf7771d,IRWIN,2023-01-12 22:29,"SKU, HIGHWAY IC Siskiyou",SKU,STATE,Siskiyou,3.0,"41.5316531895405, -122.906812796058",,,,
73da1f8b-2a3c-4b33-bf9c-1d271ca14ea8,IRWIN,2023-01-12 23:40,"RRU, HARRY OLIVER TRL / VARNER RD IC Riverside",RVC,LOCAL,Riverside,6.0,"33.810110931486, -116.394494849626",,,,
f85582d5-efb9-406a-ae94-b1c62ccc50b1,IRWIN,2023-01-13 00:25,"RRU, STARLIGHT IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7614109308394, -116.300893829271",,,,
8ba8e083-6c8a-4fa1-ae82-3da347caa3a4,IRWIN,2023-01-13 01:55,"FKU, W HARLAN AVE /S SONOMA AVE IC Fresno",FKU,LOCAL,Fresno,5.0,"36.4435839780124, -120.24791073463",,,,
1387257306,PulsePoint,2023-01-13 05:49,"LAC, N 25TH ST W & W AVENUE J, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.68931, -118.17484",,,,
1387381559,PulsePoint,2023-01-13 08:57,"LAC, NB 5 AT CALGROVE BLVD--AA-ES LFD091 ,",LAC,LOCAL,Los Angeles,1.0,"34.36242, -118.555",Fusion Center Instruction,Dawn,,
1387583718,PulsePoint,2023-01-13 12:51,"LFD, 9700 S FLOWER ST, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"33.948262, -118.28002",Urban,crawl,,
845c8ce2-1225-4ca1-a969-7383b1a4db9b,IRWIN,2023-01-13 13:14,"RRU, COX ST  GOOD IC Riverside",RRU,STATE,Riverside,6.0,"33.7807498802714, -117.261222998334",Nothing on cameras,crawl,,
a94885ca-948e-4a8a-948d-9d277bf83c7d,IRWIN,2023-01-13 17:27,"RRU, PARK AV /W 7TH ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7793228814474, -117.236935994036",Urban,Rawaf,,
6309d34a-d003-4308-a9c0-48e28b2d9f5b,IRWIN,2023-01-13 19:07,"RRU, ALEXANDRIA AV  EVAL IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9835358864665, -117.566492066935",Urban,Rawaf,,
7c1fb266-7d95-4796-a23e-81a8fb266b67,IRWIN,2023-01-13 19:52,"RRU, E JARVIS ST /N PERRIS BL IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7920238835102, -117.226111993176",Urban,Rawaf,,
1387881104,PulsePoint,2023-01-13 20:01,"LAC, SB 14 NO AVENUE K ,",LAC,LOCAL,Los Angeles,1.0,"34.678540000000005, -118.16130000000001",Urban,Rawaf,,
3bb4f246-57a5-4518-8d2a-46bd334951b7,IRWIN,2023-01-14 08:50,"RRU, SAGE RD  AGUA IC Riverside",RRU,STATE,Riverside,6.0,"33.4692678630184, -116.912476913737",Nothing on radio,Rawaf,"Camera blindspot, no good views.",
5bdd9496-9343-48e4-8905-25d23e37a084,IRWIN,2023-01-14 08:57,"RRU, LOPEZ ST / COX ST IC Riverside",RRU,STATE,Riverside,6.0,"33.7828658805155, -117.261219998501",Urban,Rawaf,,
1388218026,PulsePoint,2023-01-14 09:35,"LAC, CHALLENGER WAY & E AVENUE H, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.71877, -118.11227999999998",Dirt / desert,Rawaf,,
316f7159-65b7-4461-a625-962e94212a5a,IRWIN,2023-01-14 09:37,"RRU, CALLE TOSCA   THOU IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8009499314183, -116.375971845637",Dirt / desert,Rawaf,,
8bd4ed99-422c-4388-85f2-806c8fdd313e,IRWIN,2023-01-14 09:42,"RRU, S SAN JACINTO AV /E ESPLANADE AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7730518960543, -116.958812945425",Urban,Rawaf,,
c5091c3c-bb68-4694-90a7-618c30a718db,IRWIN,2023-01-14 10:43,"RRU, SYLVAN WY  PINC IC Riverside",RRU,STATE,Riverside,6.0,"33.7571239060992, -116.742369906478",Nothing on radio,Rawaf,,
1388376199,PulsePoint,2023-01-14 13:53,"LAC, E AVENUE J & 210TH ST E, HI VISTA",LAC,LOCAL,Los Angeles,1.0,"34.68979, -117.75619",,,,
7e0656e7-0338-467a-b1a3-4c59d9c5a82a,IRWIN,2023-01-14 17:16,"RRU, 6TH AV / COLORADO RIVER RD IC Riverside",CDD,FEDERAL,Riverside,6.0,"33.6623970149666, -114.529464501517",Weather,Sierra,,
2e570e1c-9914-4300-8033-e09b84f37100,IRWIN,2023-01-14 18:53,"RRU, MORENO VALLEY MALL MOVA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9363018975795, -117.271653012537",Weather,Sierra,,
d145a048-0945-4c88-b1fb-8b2a137f3e74,IRWIN,2023-01-14 23:31,"RRU, FREDERICK ST OFRP  / FREDERICK ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.939702898535, -117.261528011066",,,,
a8d00787-0184-4a4c-82ec-09fdfa4b7a40,IRWIN,2023-01-15 01:14,"RRU, N STATE ST /N RAMONA BL IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7944058978367, -116.97158194933",,,,
