id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
1552854599,PulsePoint,2023-07-31 00:16,"LAC, N 27TH ST E & E AVENUE R-12, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.56189, -118.08097000000001",,,
fb0b88ff-ef64-4577-998d-f67031075667,IRWIN,2023-07-31 01:05,"RRU, AVERY CANYON RD / GIBBEL RD IC Riverside",RRU,STATE,Riverside,6.0,"33.7013818890325, -116.934448935553",,,
60e1cf07-58ec-4f8d-bcba-3feb707da9f6,IRWIN,2023-07-31 02:54,"RVC, 3RD ST  MECC IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5710639203203, -116.074853774415",,,
3ebbd0a6-840c-4c18-ac67-eb85e475eae6,IRWIN,2023-07-31 03:29,"TGU, PAYNES IC Tehama",TGU,LOCAL,Tehama,3.0,"40.1854151509631, -122.21374149229",,,
da2b7bad-801f-4cd3-8f7c-c2f34f828866,IRWIN,2023-07-31 04:51,"RVC, ROADRUNNER MHP LELS IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6710298611678, -117.378773009903",,,
75059f1f-a7cb-4b9c-a4a8-18178e4fdec5,IRWIN,2023-07-31 05:09,"RVC, BREEZE IC Riverside",RVC,LOCAL,Riverside,6.0,"33.505979922553, -115.887021735977",,,
d6010401-2f43-4dc2-a652-289e0cb41516,IRWIN,2023-07-31 05:17,"RVC, GRAND AV / BLANCHE DR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6533258597342, -117.367715006619",,,
d7f95b91-09a7-4c50-b55b-921526706bb3,IRWIN,2023-07-31 05:32,"RVC, KAREN IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9248459367007, -116.545286885274",,,
5e0db4a3-91f9-43e2-b08d-f74476410249,IRWIN,2023-07-31 06:07,"RVC, AVE 46  / CLINTON ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7146999284531, -116.242650815312",,,
5d70ecc3-e0cd-41ab-8acf-1210174903ca,IRWIN,2023-07-31 06:35,"RVC, PERRIS BL OFRP  / HY 60  W IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9393649007241, -117.221623004159",,,
73ccdda3-d889-4afc-b5df-2264fe4a5c7a,IRWIN,2023-07-31 07:57,"CDD, BREEZE IC Riverside",CDD,FEDERAL,Riverside,6.0,"33.505914922551, -115.886911735953",Other - Enter reason,Dawn,old alert
f5e6f515-5def-4c20-a137-5239ffb72bea,IRWIN,2023-07-31 08:39,"NV-HTF, Burnside IC Alpine",NV-HTF,FEDERAL,Alpine,4.0,"38.737947213753, -119.908860938855",Other - Enter reason,Dawn,old alert
6c0f1b4f-62a4-4d14-b538-ecf07daf5fa5,IRWIN,2023-07-31 09:15,"NOD, COW IC Modoc",NOD,FEDERAL,Modoc,3.0,"41.943055475156, -120.00714440415",Knockdowns,Dawn,
32534aa1-7374-4216-8e61-0c01efd3fc3c,IRWIN,2023-07-31 09:47,"BTU, LA PORTE RD  BNGR IC Butte",BTU,STATE,Butte,3.0,"39.3893291536269, -121.40474025979",Unable to locate (UTL),Dawn,
9292dc9f-ff03-451d-818e-eb08d70a1c00,IRWIN,2023-07-31 10:46,"RVC, VIA DEL MONTE   LAQ IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7250289266229, -116.298697826028",Urban,Rawaf,
651052f3-2fd6-4473-84a3-4d3ee693cad3,IRWIN,2023-07-31 11:05,"RVC, NEIGHBOURS BL  BLYT IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5523949942402, -114.656717516541",Agriculture / farm,Rawaf,No views
c8cfc0d9-2590-42be-8374-09b9d7d32e66,IRWIN,2023-07-31 11:05,"RVC, MONROE IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6927139259349, -116.240629813236",Urban,Rawaf,"Late: ""FireDiscoveryDateTime: 2023-07-31 10:29 PDT"""
8611cd1e-5f2f-4f0e-8dc2-ddf936798455,IRWIN,2023-07-31 11:15,"MNF, LOG SPRINGS IC Tehama",MNF,FEDERAL,Tehama,3.0,"39.8200050770509, -122.780013526957",Knockdowns,Chesa,
a9eb1d2e-fdbb-4e4c-9634-0ad3a668dacc,IRWIN,2023-07-31 11:24,"TCU, LINK IC Tuolumne",TCU,STATE,Tuolumne,4.0,"38.0789301355639, -120.163495900671",Nothing on cameras,Chesa,
1553234056,PulsePoint,2023-07-31 11:35,"LAC, 43210 GINGHAM AVE, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.66875000000011, -118.12230499995472",Urban,Rawaf,
ddd5e1da-ea9a-4b28-a7be-3f7d3494d441,IRWIN,2023-07-31 11:38,"BTU, CANAL DR  KELLY_RDGE IC Butte",BTU,STATE,Butte,3.0,"39.4866331582782, -121.445844279",Pushed,Chesa,Canal IC
1553234798,PulsePoint,2023-07-31 11:40,"LFD, 6213 N WOODLEY AVE, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.185707, -118.48373",Urban,Rawaf,
g18-2023-07-31T18:41:18+00:00,GOES,2023-07-31 11:41,"Processed, San Luis Obispo County, 53 MW",SLU,STATE,San Luis Obispo,1.0,"35.3709, -120.0391",Solar farm,Rawaf,
edf4c8d5-4cf7-4046-b6e6-d1181cd7d6b4,IRWIN,2023-07-31 12:11,"RVC, PALM IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7230269241905, -116.338810832954",Urban,Rawaf,"No views, blocked by haze, late: ""FireDiscoveryDateTime: 2023-07-31 10:29 PDT"""
5b173cc1-34a9-42c6-aff7-36a9905b434a,IRWIN,2023-07-31 12:24,"RVC, EISENHOWER IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6953999232928, -116.294941823048",Urban,Rawaf,"No views, late: ""FireDiscoveryDateTime: 2023-07-31 10:53 PDT"""
a475e242-39eb-481a-acc0-a8e4f26b46a5,IRWIN,2023-07-31 12:25,"BEA, HAMMONTON SMARTSVILLE RD / DOOLITTLE DR IC Yuba",BEA,FEDERAL,Yuba,3.0,"39.1690791329196, -121.439110236482",,Chesa,Doolittle IC
577793a6-6add-4949-b605-993730cf292e,IRWIN,2023-07-31 12:31,"LMU, DYER MOUNTAIN DYER_MOUNTAIN IC Lassen",LMU,STATE,Lassen,3.0,"40.239244252358, -121.032656316547",Nothing on cameras,Chesa,
ed739a65-7acf-47c5-ab17-d057f914d52d,IRWIN,2023-07-31 12:36,"RVC, TRADITIONS IC Riverside",RVC,LOCAL,Riverside,6.0,"33.674201920767, -116.294843821376",Urban,Rawaf,"No views, late: ""FireDiscoveryDateTime: 2023-07-31 10:55 PDT"""
2b0fd9e8-79e5-4c9d-a498-496fc7092e1c,IRWIN,2023-07-31 13:31,"SHF, Rail IC Shasta",SHF,FEDERAL,Shasta,3.0,"40.8941051895711, -122.383013620171",Knockdowns,Chesa,
67ee2d31-45c1-4ed6-ab0a-bc953c9b245e,IRWIN,2023-07-31 13:55,"BEU, GRIFFIN IC Monterey",BEU,STATE,Monterey,2.0,"36.1970869233237, -120.720356784337",Nothing on cameras,Chesa,
0b2a45b0-c2be-481e-a986-cb7219fbe342,IRWIN,2023-07-31 14:08,"RVC, WASHINGTON ST  LAQ IC Riverside",RVC,LOCAL,Riverside,6.0,"33.709975925053, -116.29456582412",Fusion Center Instruction,Rawaf,"No views, late: ""FireDiscoveryDateTime: 2023-07-31 13:19 PDT"""
a4a57df8-bcd4-4944-8237-d1e9f03c28aa,IRWIN,2023-07-31 14:23,"RVC, VALLEY IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8738338764457, -117.522688050623",Other - Enter reason,Rawaf,Repeat of earlier cancelled Corona PP... Contained at 4 acres.
402d20eb-1859-4a06-893a-a18ab75813d6,IRWIN,2023-07-31 14:52,"SHU, HWY 299  E/ QUAIL MEADOWS LN IC Shasta",SHU,STATE,Shasta,3.0,"40.7774722149875, -121.982227541725",Nothing on cameras,Chesa,
b1224a7e-b736-4d7f-96f9-c61cbf547fc4,IRWIN,2023-07-31 14:55,"HEA, HEALDSBURG IC Sonoma",HEA,LOCAL,Sonoma,2.0,"38.6455519803202, -122.868951386694",Pushed,Chesa,Healdsburg IC
b9cdbca6-3723-407d-b91d-9ecee790a525,IRWIN,2023-07-31 15:07,"RRU, HY 60  E/ GILMAN SPRINGS RD OFRP IC Riverside",RRU,STATE,Riverside,6.0,"33.9380669056582, -117.130531988323",Unable to locate (UTL),Rawaf,Theodore IC: Haze limiting views... 
