id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0acd0b2f-d83c-4e6d-b3b6-ebd22aff2825,IRWIN,2024-02-05 14:07,"RVC, VAN BUREN IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6056079173122, -116.207288800566",Agriculture / farm,Dawn,,,,,,,
282d3f56-9a81-485a-b0c9-6f7d2e128fcc,IRWIN,2024-02-05 17:06,"RVC, E MIDWAY ST  SANJ IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7638548952137, -116.954617943971",,,,,,,,,
5049ddcd-2b4e-4d79-8cbb-83586bfd0a9d,IRWIN,2024-02-05 17:29,"BDF, PANORAMIC IC Riverside",BDF,FEDERAL,Riverside,6.0,"33.7143629026021, -116.714512898251",,,,,,,,,
8a6f5c12-f21c-43d0-a853-af2eb9a67576,IRWIN,2024-02-05 23:05,"RVC, VAN BUREN BL / CLAY ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9671658902036, -117.466643048525",,,,,,,,,
1736957171,PulsePoint,2024-02-06 05:53,"LAC, E AVENUE Q & 130TH ST E, LAKE LOS ANGELES",LAC,LOCAL,Los Angeles,1.0,"34.58723, -117.89851",,,,,,,,,
0adcef08-1af1-4d4d-a7e8-afa9b1b78bbf,IRWIN,2024-02-06 09:06,"RVC, MARKET ST  INDO IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7285689308888, -116.228415813878",Fusion Center Instruction,Dawn,"raining, skip",,,,,,
aa3a6115-05ac-49f6-adec-5cc49b5cc15e,IRWIN,2024-02-06 11:38,"RVC, SOBOBA RD / STATE ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8232259010105, -116.974812952175",Dirt / desert,Dawn,,,,,,,
0eb8b3c2-4b12-40e3-a28e-e3f596f485ee,IRWIN,2024-02-06 15:57,"RVC, AVE 44  / GOLF CENTER PY IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7294219325764, -116.199414808811",Urban,Dawn,,,,,,,
7d9bb8a5-b93d-476b-afae-79ecd05be400,IRWIN,2024-02-06 19:55,"CZU, SUMMIT IC Santa Cruz",CZU,STATE,Santa Cruz,2.0,"37.1626629218202, -122.013935085146",,,,,,,,,
1737818509,PulsePoint,2024-02-06 21:18,"LAC, SB 710 AT ROSECRANS AV ,PRMT, PARAMOUNT",LAC,LOCAL,Los Angeles,1.0,"33.90364, -118.18549999999999",,,,,,,,,
bac140f3-7db7-42ea-80e6-c134195c3dc4,IRWIN,2024-02-06 21:37,"CYP, PICO IC Monterey",CYP,LOCAL,Monterey,2.0,"36.5638138764632, -121.917606006418",,,,,,,,,
7793c958-8b89-4e8f-aee4-923e76e16120,IRWIN,2024-02-06 22:26,"RVC, GOLF CENTER PY OVRPS (I 10) INDO IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7260549320579, -116.201530808922",,,,,,,,,
cc651d06-a482-4d01-94a1-852c4164dbe8,IRWIN,2024-02-07 10:44,"CNF, CANYON IC San Diego",CNF,FEDERAL,San Diego,6.0,"32.7772748056445, -116.426941777696",,,,,,,,,
a0419f3b-d0c8-4798-adfc-5b4e97e7710d,IRWIN,2024-02-07 13:02,"RVC, AVE 52  / CALHOUN ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6708869251151, -116.207730805712",,,,,,,,,
4623a4a7-82ea-44c2-a380-4f0518de785e,IRWIN,2024-02-07 16:35,"RVC, CHOLLA DR / 8TH ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9678159437111, -116.510151882542",,,,,,,,,
7d6589ad-52d1-44ef-ae97-b7e7c3df453e,IRWIN,2024-02-07 18:46,"CDD, GREENSPOT RD / SANTA ANA TRUCK RD IC San Bernardino",CDD,FEDERAL,San Bernardino,6.0,"34.0955299249853, -117.109033997343",Other - Enter reason,Treva,discovery at 10:16,,,,,,
11c47aa0-3a4f-4b47-86d1-89d23426bab8,IRWIN,2024-02-07 18:49,"BDC, DAG1 IC San Bernardino",BDC,LOCAL,San Bernardino,6.0,"34.8588190273543, -116.846356016098",Other - Enter reason,Treva,discovery at Feb 02 21:37,,,,,,
1739321395,PulsePoint,2024-02-08 10:26,"LAC, W AVENUE J & N 20TH ST W, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.68932999999999, -118.16894",Urban,Rawaf,,,,,,,
1739493502,PulsePoint,2024-02-08 13:11,"LAC, 140TH ST E & E AVENUE R, LLANO",LAC,LOCAL,Los Angeles,1.0,"34.5726, -117.88043000000002",Nothing on radio,Rawaf,"Black smoke visible, looks desert... Smoke dissipating, skip.",,,,,,
1739493502,PulsePoint,2024-02-08 13:11,"LAC, 140TH ST E & E AVENUE R-8, LLANO",LAC,LOCAL,Los Angeles,1.0,"34.5652, -117.88049999999998",Other - Enter reason,Rawaf,Repeat 13:11 LAC,,,,,,
1739493502,PulsePoint,2024-02-08 13:11,"LAC, 140TH ST E & E AVENUE R, LLANO",LAC,LOCAL,Los Angeles,1.0,"34.5726, -117.88043000000002",Other - Enter reason,Rawaf,Repeat 13:11 LAC,,,,,,
1739493502,PulsePoint,2024-02-08 13:11,"LAC, 140TH ST E & E AVENUE R-8, LLANO",LAC,LOCAL,Los Angeles,1.0,"34.5652, -117.88049999999998",Other - Enter reason,Rawaf,Repeat 13:11 LAC,,,,,,
g18-2024-02-09T02:22:25+00:00,GOES,2024-02-08 18:22,"High Probability, Los Angeles County, 39 MW",LFD,LOCAL,Los Angeles,1.0,"33.7813, -118.285",,,,,,,,,
1739790684,PulsePoint,2024-02-08 18:31,"LAC, W AVENUE G & 14 FWY, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.73317, -118.17067999999999",,,,,,,,,
9fc6689f-66e1-4c2b-82f6-50f51865f264,IRWIN,2024-02-08 23:27,"RVC, BROWN AV  SANJ IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7857228972119, -116.964583947429",,,,,,,,,
003dd2f9-53ff-43ee-b12f-91711d8858fa,IRWIN,2024-02-09 00:49,"RVC, JOHN F KENNEDY PARK MOVA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9019038956721, -117.235002003461",,,,,,,,,
2a4c7c81-b905-4824-a2c7-2bcb73a15a3d,IRWIN,2024-02-09 07:03,"RRU, LOST HEADS RANCH - THE RANCH DHSP IC Riverside",RRU,STATE,Riverside,6.0,"33.9906149456265, -116.523881886787",Dirt / desert,Rawaf,"Also, weather. No views.",,,,,,
1740468399,PulsePoint,2024-02-09 12:36,"LAC, NB 14 NO ESCONDIDO CANYON RD ,ACTN, ACTON",LAC,STATE,Los Angeles,1.0,"34.49347, -118.27990000000001",Nothing on cameras,Rawaf,,,,,,,
4744101b-4760-4fb2-8bc9-4f2ef1397ff2,IRWIN,2024-02-09 14:40,"RRU, TENAJA RD  MURR IC Riverside",RRU,STATE,Riverside,6.0,"33.4989298425534, -117.355766992578",Weather,Rawaf,"Some smoke visible, raining... Smoke dissipating.",,,,,,
g18-2024-02-10T00:34:25+00:00,GOES,2024-02-09 16:34,"Processed, Santa Barbara County, 45 MW",AFV,FEDERAL,Santa Barbara,1.0,"34.6363, -120.606",,,,,,,,,
g18-2024-02-10T00:35:25+00:00,GOES,2024-02-09 16:35,"Processed, Santa Barbara County, 80 MW",SBC,STATE,Santa Barbara,1.0,"34.6909, -120.4244",,,,,,,,,
1740734506,PulsePoint,2024-02-09 16:54,"LAC, N WALNUT GROVE AVE & LANDIS VIEW LN, ROSEMEAD",LAC,LOCAL,Los Angeles,1.0,"34.04143, -118.08173000000001",Urban,Jen,,,,,,,
c9068c45-d910-4490-bb46-652c42371c83,IRWIN,2024-02-09 18:08,"RVC, VERBENA IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9505099426522, -116.492578878065",Urban,Jen,"desert; old, discovery: 1709",,,,,,
g18-2024-02-10T11:10:28+00:00,GOES,2024-02-10 03:10,"High Probability, San Bernardino County, 49 MW",BDC,LOCAL,San Bernardino,6.0,"34.1061, -117.2935",,,,,,,,,
1741225127,PulsePoint,2024-02-10 05:47,"LAC, 11610 E IMPERIAL HWY, NORWALK",LAC,LOCAL,Los Angeles,1.0,"33.917095003164896, -118.08477499994805",,,,,,,,,
8e875675-e856-448c-a233-7837642d89fe,IRWIN,2024-02-10 10:27,"RVC, MOUNTAIN AV / RAMONA EXPRESSWAY IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7734908974485, -116.934427941224",Urban,Daniel,,,,,,,
1741510450,PulsePoint,2024-02-10 12:19,"LAC, EB 60 AT HACIENDA BLVD ,HCHT, HACIENDA HEIGHTS",LAC,LOCAL,Los Angeles,1.0,"34.00679, -117.96440000000001",,,,,,,,,
1741704924,PulsePoint,2024-02-10 16:12,"LAC, N 20TH ST E & E AVENUE I, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.70423, -118.09475",,,,,,,,,
526c118a-c72d-44ff-87d2-230d352d6097,IRWIN,2024-02-10 17:28,"RVC, PALOMAR ST / ELM ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6048898592234, -117.274638986839",,,,,,,,,
9f871e94-932e-431e-bc88-1f354e69d28e,IRWIN,2024-02-10 18:08,"RVC, S HERMOSA AV /E VICTORY AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9144529174757, -116.869268941096",,,,,,,,,
ab239359-cbdc-4abc-9bb8-dca47a1d9d2e,IRWIN,2024-02-10 18:38,"RVC, 7TH ST / WEST DR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9687079438157, -116.510156882615",,,,,,,,,
c7eafaac-c7f4-4822-92a8-4c254476524a,IRWIN,2024-02-10 20:23,"RVC, CANAL ST / LA RUE ST IC Riverside",RVC,LOCAL,Riverside,6.0,"34.0060948976768, -117.412447042376",,,,,,,,,
7e157c07-a674-4d47-a721-fdb837cbfbe9,IRWIN,2024-02-10 21:58,"RVC, DILLON RD / BENNETT RD IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9248949434921, -116.423101863786",,,,,,,,,
4cdbbb00-8bae-446d-99a1-7cb717b20bfa,IRWIN,2024-02-10 22:36,"RVC, SANJ13 IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7587808948799, -116.949938942758",,,,,,,,,
b766fdbe-6dbe-4e7e-abe4-967db8457122,IRWIN,2024-02-11 00:32,"CDD, AVENIDA MADERO   LAQ IC Riverside",CDD,LOCAL,Riverside,6.0,"33.6495659165926, -116.317476823455",,,,,,,,,
