id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1899259725,PulsePoint,2024-07-15 00:31,"LAC, E SKYLINE DR & S TURNBULL CANYON RD, HACIENDA HEIGHTS",LAC,STATE,Los Angeles,1.0,"33.995180000000005, -118.00162999999999",,,,,,,,,,,,,,,,,
7961145d-fe7d-4745-9049-9f6e109adac6,IRWIN,2024-07-15 00:39,"MRG, HALE IC Santa Clara",MRG,LOCAL,Santa Clara,2.0,"37.1514719448592, -121.672546032045",,,,,,,,,,,,,,,,,
dbd4b166-d2cf-4b2c-8242-1b978ed6196f,IRWIN,2024-07-15 00:47,"MRD, VOLTA RD / HWY 152  W IC Merced",MRD,LOCAL,Merced,5.0,"37.042081987241, -120.926940904862",,,,,,,,,,,,,,,,,
2d72d6af-82a8-4e48-8e56-6a92f44582c1,IRWIN,2024-07-15 01:21,"MDC, HWY 99 N ON RAMP  / SHANKS RD OFF RAMP IC Madera",MDC,LOCAL,Madera,5.0,"36.9295370390073, -120.027459750142",,,,,,,,,,,,,,,,,
cc71b962-6fb1-474d-8b5e-39003f8d38b5,IRWIN,2024-07-15 02:40,"MRD, CAMPUS PKWY / SOUTH BEAR CREEK DR E IC Merced",MRD,LOCAL,Merced,5.0,"37.3104390469342, -120.423207854735",,,,,,,,,,,,,,,,,
ID-2024-07-15T10:01:30Z_0022,NGFS,2024-07-15 03:05,"Kern County, CA",KRN,STATE,Kern,5.0,"35.002189429153816, -118.33174931818162",,,,,,,,,,,,,,,,,
76fb6562-103d-4e41-9b2b-b0a7158494f0,IRWIN,2024-07-15 03:10,"BDF, BEAR IC San Bernardino",BDF,FEDERAL,San Bernardino,6.0,"34.092978928899, -117.03443198421",,,,,,,,,,,,,,,,,
44260ece-9d6f-452d-92bd-cf15023d9bb0,IRWIN,2024-07-15 04:31,"HIA, Legion IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0783383897301, -123.695013842701",,,,,,,,,,,,,,,,,
d4c45f42-0f59-4cd0-8cf0-46b02b29cda3,IRWIN,2024-07-15 04:33,"HIA, Stick Field 2 IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0636161892653, -123.688902739587",,,,,,,,,,,,,,,,,
16e9b85c-0c72-4e32-8793-21116685cee6,IRWIN,2024-07-15 04:36,"HIA, Marshall 1 IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0777828905349, -123.685291641205",,,,,,,,,,,,,,,,,
df58b0e5-1d2f-4f40-b11d-5526fb7b2147,IRWIN,2024-07-15 04:38,"HIA, Marshall 2 IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0800050904684, -123.687791641904",,,,,,,,,,,,,,,,,
b02942fd-0fcf-46c6-b603-5f0464ad46d4,IRWIN,2024-07-15 04:39,"HIA, Marshall 3 IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0755606903848, -123.685291640868",,,,,,,,,,,,,,,,,
837c03fb-146d-4545-907d-362a6af6f636,IRWIN,2024-07-15 04:48,"HIA, River Road 4 IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0588939894512, -123.683069438026",,,,,,,,,,,,,,,,,
4f3b4e78-881c-44ec-a7de-556fbb04a19f,IRWIN,2024-07-15 04:50,"KRN, WILLOW IC Kern",KRN,STATE,Kern,5.0,"35.0016049538575, -118.33671228391",,,,,,,,,,,,,,,,,
a91de77b-6ac7-4c54-ab15-6d7762edfdfa,IRWIN,2024-07-15 06:00,"SKU, TRUCK IC Siskiyou",SKU,STATE,Siskiyou,3.0,"41.3892582260072, -122.376056693839",,,,,,,,,,,,,,,,,
17dd14d7-4c69-47df-9772-679299eec1e3,IRWIN,2024-07-15 06:05,"RVC, RUBIDOUX BL OFRP  / 30TH ST IC Riverside",RVC,LOCAL,Riverside,6.0,"34.0060948976768, -117.412447042376",,,,,,,,,,,,,,,,,
